,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
2002,779.31,1336.09,921.95,162.85,1287.94,455.03,359.18,1121.12,1122.43,953.55,1212.06,1177.60,1693.61,535.75,930.62,1050.65,832.19,613.05,1345.53,1511.89,1092.09,1071.40,1176.36,856.42,785.29,1496.78,1020.39,537.83,457.18,203.45,1142.23,1102.64,330.18,1232.20,1246.60,533.64,1085.43,838.27,691.06,1165.27,1174.64,1198.88,432.32,1365.16,797.79,251.28,1231.54,1060.19,946.48,1354.70,872.64,393.41
2003,801.78,1420.60,905.59,261.19,1135.13,533.43,471.36,1430.64,1502.04,1414.66,1196.82,1283.87,1416.54,593.17,956.79,1160.91,794.69,686.48,1382.90,1210.28,1173.08,1444.65,1311.84,856.89,671.85,1297.22,1044.76,504.96,564.34,275.06,1264.18,1466.84,260.94,1371.81,1570.31,525.59,1259.59,709.05,835.23,1419.37,1299.67,1388.60,523.68,1461.75,616.08,322.90,1315.44,1464.36,1091.98,1577.96,718.00,484.19
2004,852.91,1373.90,889.50,336.57,1370.30,558.09,558.00,1241.76,1161.20,1136.54,1182.17,1186.66,1899.87,632.17,1035.94,1054.96,938.77,804.04,1417.54,1504.96,985.30,1199.75,1116.56,956.83,817.43,1509.71,1065.83,510.97,608.72,320.06,1044.01,1203.96,516.23,1252.85,1228.80,625.30,1271.28,991.82,793.14,1327.61,1185.57,1120.15,570.60,1520.23,953.62,400.26,1081.22,1154.60,981.39,1471.55,915.00,462.68
2005,788.59,1363.37,901.76,331.76,839.20,731.76,522.76,1392.17,1092.69,1070.36,1255.47,1283.65,1679.46,683.43,835.89,1011.74,756.97,726.37,1043.76,1039.72,1519.50,1084.42,1394.08,793.69,810.02,1219.81,866.61,586.19,663.36,382.37,1458.44,1112.15,381.20,1274.81,1227.07,611.22,1055.12,647.06,877.45,1110.56,1389.93,1250.58,584.96,1098.19,537.79,434.84,1395.51,1030.71,988.32,1150.19,746.18,502.37
2006,784.49,1021.23,899.37,258.69,1200.91,617.54,543.63,1290.06,1066.03,1121.33,807.36,892.45,1773.96,725.24,1079.67,1304.96,812.11,672.88,1303.39,1199.76,1244.24,1098.27,1256.43,960.92,644.81,1148.86,957.38,533.39,572.23,295.24,1331.46,1216.77,446.92,1330.18,1243.71,471.10,1170.48,695.73,953.63,1220.41,1249.56,1032.50,476.52,1206.01,623.30,378.22,1357.21,1122.03,1258.45,1263.08,791.67,423.84
2007,745.13,852.39,799.23,280.64,1046.08,362.09,513.55,1085.78,983.32,810.52,912.33,884.84,1659.23,565.32,881.54,947.55,970.58,811.25,953.99,1119.06,1233.13,918.87,1137.66,828.66,837.67,919.03,948.23,514.59,753.62,225.08,1231.21,1091.69,380.34,1195.86,871.57,614.64,1023.60,1015.89,763.17,1116.02,1042.42,957.11,627.54,863.64,904.65,322.50,1328.76,805.21,1046.37,1109.90,838.37,491.51
2008,810.62,1213.16,854.46,341.17,1421.90,471.35,514.13,1394.83,1087.29,1058.91,1078.11,1050.56,1587.29,599.06,1234.06,1200.73,1059.26,879.84,1184.57,1353.18,1382.47,1122.28,1439.42,1020.09,801.14,1308.09,1285.33,590.21,699.19,243.83,1411.84,1186.29,414.14,1317.18,1109.20,625.09,1178.60,933.88,771.73,1237.80,1407.65,1139.00,717.73,1143.72,609.33,329.10,1365.05,986.12,972.62,1302.67,845.38,503.90
2009,834.31,1686.51,827.74,196.24,1695.98,461.54,551.85,1300.13,1382.79,1244.47,1118.49,1386.80,1515.47,663.60,1272.53,1101.31,1100.71,798.58,1364.35,1440.61,1221.14,1279.30,1269.34,927.12,765.65,1674.29,1214.99,534.40,780.71,284.02,1242.34,1292.89,321.66,1143.46,1344.94,642.68,1039.52,955.57,737.34,1136.16,1332.61,1253.42,730.81,1518.10,695.43,335.31,1157.56,1240.83,1009.32,1344.20,846.97,547.30
2010,798.59,1077.06,800.74,359.34,931.01,793.54,508.71,1235.55,1083.67,1027.19,1019.04,972.64,1316.14,708.37,1025.63,953.41,1136.01,694.91,1020.95,1057.00,1318.63,1057.24,1255.78,843.73,933.36,1093.28,1009.78,628.11,700.64,389.06,1273.00,1135.91,399.77,1208.28,1119.48,723.14,936.40,752.38,994.83,1113.43,1235.94,980.80,739.14,1060.70,669.71,452.12,1260.79,1046.99,1187.74,1122.67,946.97,535.51
2011,792.42,1133.79,916.33,220.07,1190.77,501.86,503.84,1513.92,1200.93,1280.53,966.47,919.24,1643.44,671.59,1209.44,1432.99,874.08,613.85,1529.77,980.49,1257.93,1287.95,1428.52,989.26,710.97,1172.64,1111.73,675.06,721.34,255.07,1403.12,1440.14,247.24,1521.93,1054.54,701.57,1464.27,656.20,795.01,1557.85,1316.80,899.33,693.61,1408.91,403.17,359.48,1455.34,1136.95,1103.80,1502.53,803.53,549.02
2012,721.68,1208.98,868.96,227.89,939.42,597.70,349.95,1014.68,1093.81,905.96,1134.25,1079.53,1366.30,669.42,783.23,838.10,680.68,521.70,1008.52,1336.59,1171.85,1006.24,1013.78,794.29,720.72,1298.92,782.98,487.86,421.15,239.48,1046.05,999.49,219.74,1086.11,1132.92,491.59,923.32,645.14,1047.49,1087.69,984.50,1068.87,430.19,1125.11,601.02,262.34,1060.46,951.85,1350.06,1202.88,682.97,337.32
2013,804.87,1491.79,931.92,301.89,1287.52,216.47,505.42,1124.10,1150.68,1159.75,1204.15,1368.88,1490.11,510.11,1000.78,1119.39,959.74,775.58,1299.64,1384.68,1166.53,1140.82,1127.81,1011.08,830.15,1457.71,1085.80,594.93,621.76,201.00,1105.61,1101.48,339.15,1210.79,1339.26,691.88,1118.59,871.40,574.17,1082.39,1152.14,1342.09,721.38,1436.83,647.18,334.54,1199.57,1247.89,914.25,1286.68,971.29,478.37
2014,790.31,1193.29,878.46,258.15,1126.48,489.20,520.13,1118.07,1155.05,1024.12,1173.26,1119.13,1690.08,728.75,1048.53,1083.13,978.51,654.19,1188.81,1248.03,1306.60,1088.48,1164.59,980.48,845.48,1193.18,948.02,624.99,679.02,257.86,1174.96,1129.35,323.67,1171.66,1180.77,596.22,1061.92,702.46,933.50,1089.88,1231.48,1156.46,641.24,1241.09,575.16,308.98,1168.30,1061.26,1217.08,1214.30,1011.35,548.21
2015,865.26,1385.45,931.38,321.43,1479.01,385.26,606.66,1033.90,1153.54,1021.26,1066.85,1269.70,1628.51,603.61,1256.08,1179.10,1147.80,863.18,1382.30,1486.24,1099.12,1089.89,1027.55,887.72,813.15,1339.21,1352.67,503.92,790.20,287.41,1024.49,1049.75,469.77,1053.27,1397.05,535.47,1121.33,1224.90,764.09,1061.72,1019.44,1359.15,610.61,1435.50,957.22,379.33,1120.19,1164.76,1054.75,1317.07,934.12,501.88
2016,821.17,1049.36,887.28,315.87,1142.95,642.33,497.32,1019.85,1191.75,1148.47,1298.11,936.56,1726.42,692.95,1010.07,1126.26,996.92,774.95,1215.27,1517.41,1086.04,1171.42,974.25,987.24,897.69,1235.35,990.85,599.50,731.30,327.59,976.17,1026.71,326.74,1066.29,1260.99,685.81,1080.38,783.87,902.47,1076.19,1064.31,1146.39,606.48,1098.07,780.28,386.89,1051.95,1099.20,1221.40,1302.56,1008.19,507.55
2017,864.64,1400.05,919.17,270.66,1276.76,734.13,557.11,1231.08,1179.73,1052.35,1394.80,1163.06,1518.77,789.78,1086.95,1159.88,899.29,817.31,1318.68,1487.63,1171.89,1133.11,1225.79,1110.59,861.03,1352.57,1098.66,525.92,686.49,330.05,1178.42,1165.78,414.73,1359.87,1210.77,427.56,1238.83,943.61,964.42,1248.46,1282.35,1204.25,538.82,1444.42,762.73,352.51,1262.23,1088.61,1248.27,1359.85,1029.87,580.56
2018,919.55,1596.81,940.75,292.02,1533.08,467.27,471.43,1526.68,1590.83,1637.69,1471.91,1441.12,1873.77,639.67,1303.80,1404.64,1287.30,851.08,1663.57,1556.48,1245.03,1674.14,1463.23,993.30,876.33,1561.63,1161.77,612.76,846.09,259.40,1334.07,1614.26,316.51,1396.16,1683.84,551.32,1530.90,935.09,708.08,1686.05,1469.11,1504.54,692.15,1728.25,850.79,309.81,1305.50,1504.95,1069.07,1759.28,1044.52,523.98
2019,930.72,1330.37,977.81,392.78,1600.02,773.39,538.89,1413.60,1159.04,1075.92,1258.69,1178.60,1648.72,657.45,1312.21,1330.42,1192.41,956.60,1550.84,1522.93,1342.16,1181.35,1416.53,1170.66,1010.13,1573.07,1378.48,632.54,879.78,400.21,1337.10,1276.91,376.70,1418.12,1211.94,765.44,1319.72,1084.42,813.42,1364.34,1454.37,1179.43,897.46,1620.17,693.80,459.66,1349.03,1118.36,882.83,1392.71,1175.91,570.49
2020,808.21,1535.71,919.89,178.47,1548.21,327.59,359.00,1213.44,1475.88,1493.06,1318.38,1348.10,1550.27,632.17,1110.60,1103.04,848.15,656.58,1497.51,1692.76,1074.72,1388.02,1110.62,928.38,633.93,1619.14,1217.94,498.60,523.11,175.86,1096.33,1280.07,245.50,1187.19,1602.17,379.94,1193.66,935.63,761.96,1175.95,1176.40,1484.92,412.22,1574.93,702.60,205.69,1059.03,1469.95,1188.48,1485.98,898.42,372.17
