,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
2008,4.17,12.81,-7.97,10.39,11.48,9.35,0.31,6.98,10.81,10.27,17.72,12.91,17.91,0.60,6.69,6.97,3.73,7.12,9.25,15.38,1.63,9.71,6.01,3.16,0.24,13.16,8.00,-0.13,3.76,4.47,2.66,8.86,6.41,4.00,11.15,-0.88,6.54,10.64,3.35,5.71,7.56,12.85,1.83,10.26,13.56,3.33,2.03,9.30,3.67,6.88,2.15,-0.79
2009,4.42,13.24,-7.16,10.62,11.73,9.27,0.41,6.50,10.38,10.07,17.89,13.20,18.13,0.61,7.19,7.35,4.26,7.04,9.58,15.60,1.34,9.46,5.52,3.06,0.90,13.48,8.49,-0.28,3.66,4.33,2.30,8.56,6.83,3.81,11.19,-0.71,6.75,10.64,3.56,5.69,6.92,12.98,1.80,10.66,13.72,3.49,1.64,9.17,4.03,7.12,2.39,-0.76
2010,4.84,12.44,-6.66,10.46,12.05,9.19,1.10,7.92,11.01,10.67,16.66,12.29,17.99,1.26,7.87,7.88,5.11,8.00,9.61,15.14,3.44,10.06,6.98,4.92,2.35,13.00,8.95,0.27,4.75,4.51,4.01,9.48,6.81,5.07,10.87,0.81,7.32,11.19,4.14,6.49,8.28,12.37,2.98,10.39,13.56,3.75,3.20,9.26,4.73,7.16,4.01,-0.05
2011,4.77,13.24,-7.08,10.12,12.50,8.70,0.48,7.59,11.44,10.94,18.06,13.25,18.09,0.55,8.24,8.38,5.36,7.64,10.35,15.81,2.48,10.45,6.65,4.17,2.08,13.57,9.13,0.26,4.32,4.28,3.45,9.58,6.77,5.04,11.63,0.67,7.84,11.41,3.36,6.73,8.08,13.35,2.57,11.08,14.23,3.23,2.81,9.96,3.71,8.05,3.52,-0.50
2012,5.41,14.10,-8.42,11.02,13.36,9.67,1.90,8.44,11.82,11.36,18.27,14.02,17.81,1.96,9.06,9.03,6.65,9.04,10.84,16.55,2.78,10.91,7.54,5.62,3.46,14.42,10.30,1.50,5.81,5.97,4.15,10.13,7.67,5.79,11.93,1.95,8.43,12.35,4.28,7.39,8.83,13.76,4.32,11.72,14.82,4.94,3.46,10.24,4.59,8.26,5.06,1.21
2013,4.45,13.11,-6.47,10.11,11.17,9.05,0.46,6.63,10.48,10.16,18.19,13.23,18.41,0.75,6.81,7.13,4.17,6.91,9.41,15.08,1.73,9.65,5.76,3.23,0.40,13.10,7.91,0.39,4.05,4.14,2.61,8.56,6.30,4.05,10.99,-0.78,7.02,10.17,3.14,6.02,7.13,12.85,2.02,10.33,13.37,3.25,1.99,9.24,4.47,7.41,2.04,-0.22
2014,4.69,12.19,-5.01,11.02,10.63,10.26,1.15,5.89,9.59,9.29,17.44,12.52,18.86,1.71,5.87,5.99,3.59,6.82,8.73,14.47,1.35,8.69,5.08,1.89,-0.20,12.38,7.51,0.25,3.71,5.72,2.08,7.59,6.73,3.39,10.52,-0.75,5.85,10.07,4.49,4.94,6.28,12.54,1.57,9.73,13.28,4.67,1.48,8.59,5.15,6.54,0.95,0.08
2015,5.65,14.24,-5.23,11.02,12.40,10.03,2.15,6.68,10.92,10.43,19.30,14.40,19.21,2.65,7.93,7.74,5.79,8.50,10.09,16.29,1.11,9.96,5.65,3.71,2.70,14.34,9.36,1.72,5.36,6.05,2.35,8.98,7.09,4.07,11.99,1.63,7.20,11.33,4.95,6.19,7.02,13.95,3.73,11.36,14.04,4.92,1.72,9.78,5.93,7.74,3.57,1.14
2016,6.07,14.21,-4.09,11.06,13.15,10.03,2.06,7.61,11.21,10.89,18.60,14.24,19.00,2.07,9.00,8.76,6.76,8.87,10.73,16.55,2.30,10.39,6.72,5.04,3.39,14.60,10.20,1.79,5.87,5.51,3.53,9.51,7.19,4.98,11.97,2.56,8.20,11.99,4.45,6.97,7.93,13.94,4.34,11.83,14.67,4.85,2.93,10.11,5.41,8.25,4.55,0.85
2017,5.71,14.51,-5.49,11.41,12.87,10.22,2.40,7.47,11.53,11.13,18.81,14.52,18.77,1.70,8.58,8.62,6.28,8.59,10.72,16.61,2.02,10.64,6.52,4.46,2.18,14.73,9.88,0.93,5.37,5.99,3.32,9.65,7.84,4.91,12.15,1.16,8.15,11.62,3.96,7.01,7.81,14.17,3.53,11.83,14.61,5.09,2.75,10.24,4.24,8.39,3.71,0.74
2018,5.41,14.15,-4.69,11.13,12.22,9.93,1.56,7.54,11.20,10.75,18.61,14.30,19.23,1.76,7.70,8.16,4.93,7.54,10.45,16.13,1.65,10.32,6.60,3.91,1.15,14.19,8.96,0.01,4.33,5.92,3.31,9.40,7.41,4.68,12.04,-0.24,7.87,10.88,4.02,6.78,7.89,14.04,2.34,11.43,14.06,4.85,2.57,10.07,4.83,8.26,2.94,0.15
2019,5.25,14.47,-3.90,10.37,12.16,9.37,1.07,6.99,11.37,11.07,19.13,14.63,19.14,1.01,7.54,7.98,4.80,7.56,10.49,16.05,1.16,10.52,6.02,3.40,0.71,14.29,8.88,-0.50,4.24,4.63,2.59,9.27,6.82,4.04,12.32,-0.60,7.81,10.81,3.56,6.54,7.41,14.21,1.69,11.61,14.02,3.73,1.73,10.35,4.33,8.33,2.58,-0.73
2020,5.43,14.46,-6.44,11.10,12.38,9.94,1.69,8.05,11.94,11.54,19.28,14.65,18.96,1.44,8.23,8.50,5.68,8.09,10.46,16.52,2.53,11.05,7.11,4.73,2.08,14.56,9.19,0.99,5.30,5.71,3.84,9.98,7.39,5.37,12.46,1.16,8.18,11.11,4.24,7.35,8.40,14.33,3.55,11.52,14.31,4.58,3.22,10.64,5.04,8.58,3.86,0.25
